sensorid,epoch_utc,local_date_time,temperatur,relative_luftfeuchtigkeit
08:44,1690826400,20230731180000,22.3,65.4
08:44,1690830000,20230731190000,20.4,72.9
08:44,1690833600,20230731200000,19.7,75.2
08:44,1690837200,20230731210000,19.2,77.2
08:44,1690840800,20230731220000,18.7,79.4
08:44,1690844400,20230731230000,18.2,80.3
08:44,1690848000,20230801000000,18.5,76.3
08:44,1690851600,20230801010000,19.2,71.2
08:44,1690855200,20230801020000,19.1,72.8
08:44,1690858800,20230801030000,19.2,71.1
08:44,1690862400,20230801040000,18.7,76.8
08:44,1690866000,20230801050000,18.0,81.3
08:44,1690869600,20230801060000,18.0,80.8
08:44,1690873200,20230801070000,17.5,84.1
08:44,1690876800,20230801080000,17.7,78.9
08:44,1690880400,20230801090000,16.7,83.7
08:44,1690884000,20230801100000,17.6,83.7
08:44,1690887600,20230801110000,17.0,84.8
08:44,1690891200,20230801120000,18.0,84.7
08:44,1690894800,20230801130000,19.4,78.6
08:44,1690898400,20230801140000,18.1,82.7
08:44,1690902000,20230801150000,17.4,86.2
08:44,1690905600,20230801160000,18.3,82.7
08:44,1690909200,20230801170000,19.2,76.3
08:44,1690912800,20230801180000,18.6,72.6
08:44,1690916400,20230801190000,17.9,69.6
08:44,1690920000,20230801200000,16.8,76.0
08:44,1690923600,20230801210000,15.5,83.9
08:44,1690927200,20230801220000,14.2,88.2
08:44,1690930800,20230801230000,13.7,89.5
08:44,1690934400,20230802000000,13.3,89.9
08:44,1690938000,20230802010000,13.0,90.3
08:44,1690941600,20230802020000,13.2,89.9
08:44,1690945200,20230802030000,13.9,89.9
08:44,1690948800,20230802040000,14.4,91.3
08:44,1690952400,20230802050000,14.7,92.1
08:44,1690956000,20230802060000,15.1,91.6
08:44,1690959600,20230802070000,15.5,89.7
08:44,1690963200,20230802080000,17.2,84.1
08:44,1690966800,20230802090000,20.4,71.0
08:44,1690970400,20230802100000,22.4,63.7
08:44,1690974000,20230802110000,24.1,58.7
08:44,1690977600,20230802120000,26.1,53.2
08:44,1690981200,20230802130000,27.4,51.2
08:44,1690984800,20230802140000,28.3,49.2
08:44,1690988400,20230802150000,27.5,52.1
08:44,1690992000,20230802160000,26.3,55.8
08:44,1690995600,20230802170000,28.0,39.8
08:44,1690999200,20230802180000,26.6,46.1
08:44,1691002800,20230802190000,22.3,71.1
08:44,1691006400,20230802200000,20.1,83.1
08:44,1691010000,20230802210000,19.2,88.9
08:44,1691013600,20230802220000,19.1,88.2
08:44,1691017200,20230802230000,19.3,80.2
08:44,1691020800,20230803000000,18.7,79.3
08:44,1691024400,20230803010000,17.5,77.0
08:44,1691028000,20230803020000,16.2,81.9
08:44,1691031600,20230803030000,14.9,87.9
08:44,1691035200,20230803040000,15.6,79.3
08:44,1691038800,20230803050000,16.4,74.8
08:44,1691042400,20230803060000,18.5,62.4
08:44,1691046000,20230803070000,19.6,56.2
08:44,1691049600,20230803080000,20.8,51.7
08:44,1691053200,20230803090000,21.3,47.7
08:44,1691056800,20230803100000,22.0,44.8
08:44,1691060400,20230803110000,22.6,42.5
08:44,1691064000,20230803120000,23.1,41.1
08:44,1691067600,20230803130000,23.6,42.3
08:44,1691071200,20230803140000,24.2,40.8
08:44,1691074800,20230803150000,24.0,42.6
08:44,1691078400,20230803160000,23.5,45.9
08:44,1691082000,20230803170000,23.1,46.0
08:44,1691085600,20230803180000,21.8,48.9
08:44,1691089200,20230803190000,20.5,51.9
08:44,1691092800,20230803200000,19.9,57.0
08:44,1691096400,20230803210000,19.0,62.3
08:44,1691100000,20230803220000,18.6,61.6
08:44,1691103600,20230803230000,18.2,62.0
08:44,1691107200,20230804000000,17.4,68.3
08:44,1691110800,20230804010000,16.9,71.6
08:44,1691114400,20230804020000,16.2,74.6
08:44,1691118000,20230804030000,15.7,77.8
08:44,1691121600,20230804040000,15.2,84.3
08:44,1691125200,20230804050000,16.0,84.6
08:44,1691128800,20230804060000,17.2,81.4
