sensorid,epoch_utc,local_date_time,temperatur,relative_luftfeuchtigkeit
08:44,1688090400,20230630000000,20.9,71.1
08:44,1688094000,20230630010000,20.4,73.1
08:44,1688097600,20230630020000,20.1,74.8
08:44,1688101200,20230630030000,19.6,77.2
08:44,1688104800,20230630040000,19.2,78.4
08:44,1688108400,20230630050000,18.7,80.6
08:44,1688112000,20230630060000,18.8,79.6
08:44,1688115600,20230630070000,19.6,75.7
08:44,1688119200,20230630080000,19.9,75.6
08:44,1688122800,20230630090000,20.1,74.2
08:44,1688126400,20230630100000,19.3,79.6
08:44,1688130000,20230630110000,19.5,75.6
08:44,1688133600,20230630120000,20.6,72.3
08:44,1688137200,20230630130000,22.5,63.2
08:44,1688140800,20230630140000,21.6,65.3
08:44,1688144400,20230630150000,19.0,83.1
08:44,1688148000,20230630160000,19.1,86.9
08:44,1688151600,20230630170000,19.0,86.7
08:44,1688155200,20230630180000,18.6,87.4
08:44,1688158800,20230630190000,18.1,85.5
08:44,1688162400,20230630200000,17.5,86.1
08:44,1688166000,20230630210000,17.2,85.4
08:44,1688169600,20230630220000,16.6,88.5
08:44,1688173200,20230630230000,16.5,88.1
08:44,1688176800,20230701000000,16.7,85.8
08:44,1688180400,20230701010000,16.5,86.1
08:44,1688184000,20230701020000,15.7,91.4
08:44,1688187600,20230701030000,15.7,92.3
08:44,1688191200,20230701040000,15.5,92.8
08:44,1688194800,20230701050000,15.5,92.6
08:44,1688198400,20230701060000,15.5,92.1
08:44,1688202000,20230701070000,16.0,90.6
08:44,1688205600,20230701080000,16.8,81.6
08:44,1688209200,20230701090000,17.5,73.3
08:44,1688212800,20230701100000,19.0,61.6
08:44,1688216400,20230701110000,20.0,57.7
08:44,1688220000,20230701120000,21.4,54.0
08:44,1688223600,20230701130000,22.4,47.1
08:44,1688227200,20230701140000,22.9,43.5
08:44,1688230800,20230701150000,23.0,43.1
08:44,1688234400,20230701160000,22.4,46.7
08:44,1688238000,20230701170000,20.9,53.1
08:44,1688241600,20230701180000,21.1,53.9
08:44,1688245200,20230701190000,21.0,55.6
08:44,1688248800,20230701200000,20.8,58.3
08:44,1688252400,20230701210000,20.1,63.3
08:44,1688256000,20230701220000,17.7,83.3
08:44,1688259600,20230701230000,17.2,88.3
08:44,1688263200,20230702000000,16.9,89.7
08:44,1688266800,20230702010000,17.1,88.8
08:44,1688270400,20230702020000,17.5,86.0
08:44,1688274000,20230702030000,16.7,91.5
08:44,1688277600,20230702040000,16.7,91.2
08:44,1688281200,20230702050000,16.5,89.5
08:44,1688284800,20230702060000,16.4,85.1
08:44,1688288400,20230702070000,16.5,86.4
08:44,1688292000,20230702080000,17.0,84.3
08:44,1688295600,20230702090000,17.2,79.5
08:44,1688299200,20230702100000,17.8,74.0
08:44,1688302800,20230702110000,18.7,67.9
08:44,1688306400,20230702120000,20.0,65.0
08:44,1688310000,20230702130000,21.1,61.8
08:44,1688313600,20230702140000,21.8,58.2
08:44,1688317200,20230702150000,22.9,54.5
08:44,1688320800,20230702160000,23.3,52.5
08:44,1688324400,20230702170000,23.2,54.0
08:44,1688328000,20230702180000,22.6,55.8
08:44,1688331600,20230702190000,22.4,56.6
08:44,1688335200,20230702200000,21.8,57.2
08:44,1688338800,20230702210000,21.4,56.1
08:44,1688342400,20230702220000,19.5,68.9
08:44,1688346000,20230702230000,18.5,70.6
08:44,1688349600,20230703000000,18.9,64.3
08:44,1688353200,20230703010000,18.4,66.7
08:44,1688356800,20230703020000,19.0,57.8
08:44,1688360400,20230703030000,19.0,54.5
08:44,1688364000,20230703040000,18.5,56.4
08:44,1688367600,20230703050000,17.9,60.8
08:44,1688371200,20230703060000,17.9,61.6
08:44,1688374800,20230703070000,18.4,60.3
08:44,1688378400,20230703080000,18.7,56.8
08:44,1688382000,20230703090000,19.4,52.5
08:44,1688385600,20230703100000,20.4,50.2
08:44,1688389200,20230703110000,21.1,49.4
08:44,1688392800,20230703120000,21.8,49.0
08:44,1688396400,20230703130000,22.9,48.2
08:44,1688400000,20230703140000,23.4,47.4
08:44,1688403600,20230703150000,24.2,44.9
08:44,1688407200,20230703160000,24.2,43.9
08:44,1688410800,20230703170000,24.2,43.5
08:44,1688414400,20230703180000,23.9,44.6
08:44,1688418000,20230703190000,23.2,46.4
08:44,1688421600,20230703200000,22.7,46.8
08:44,1688425200,20230703210000,21.7,50.8
08:44,1688428800,20230703220000,19.1,62.1
08:44,1688432400,20230703230000,17.8,67.5
08:44,1688436000,20230704000000,17.0,72.2
08:44,1688439600,20230704010000,17.1,73.2
08:44,1688443200,20230704020000,17.6,71.2
08:44,1688446800,20230704030000,17.3,77.3
08:44,1688450400,20230704040000,17.2,81.1
08:44,1688454000,20230704050000,16.9,82.6
08:44,1688457600,20230704060000,18.0,77.8
08:44,1688461200,20230704070000,19.0,73.3
08:44,1688464800,20230704080000,19.9,69.6
