sensorid,epoch_utc,local_date_time,temperatur,relative_luftfeuchtigkeit
08:44,1693512000,20230831200000,15.2,87.4
08:44,1693515600,20230831210000,15.1,88.2
08:44,1693519200,20230831220000,15.3,86.1
08:44,1693522800,20230831230000,15.4,85.0
08:44,1693526400,20230901000000,15.7,82.8
08:44,1693530000,20230901010000,15.7,82.5
08:44,1693533600,20230901020000,16.0,80.8
08:44,1693537200,20230901030000,15.4,84.2
08:44,1693540800,20230901040000,14.5,88.2
08:44,1693544400,20230901050000,14.5,88.4
08:44,1693548000,20230901060000,15.7,83.6
08:44,1693551600,20230901070000,17.8,75.1
08:44,1693555200,20230901080000,19.9,65.1
08:44,1693558800,20230901090000,20.9,60.0
08:44,1693562400,20230901100000,22.4,53.0
08:44,1693566000,20230901110000,23.5,50.2
08:44,1693569600,20230901120000,24.5,46.8
08:44,1693573200,20230901130000,25.0,45.5
08:44,1693576800,20230901140000,25.7,46.6
08:44,1693580400,20230901150000,25.6,47.5
08:44,1693584000,20230901160000,25.2,50.9
08:44,1693587600,20230901170000,23.9,57.9
08:44,1693591200,20230901180000,20.9,74.1
08:44,1693594800,20230901190000,19.1,79.9
08:44,1693598400,20230901200000,18.3,81.9
08:44,1693602000,20230901210000,17.2,85.4
08:44,1693605600,20230901220000,16.7,86.2
08:44,1693609200,20230901230000,16.1,87.3
08:44,1693612800,20230902000000,15.8,87.7
08:44,1693616400,20230902010000,15.3,88.7
08:44,1693620000,20230902020000,14.8,88.6
08:44,1693623600,20230902030000,14.3,89.3
08:44,1693627200,20230902040000,14.1,88.8
08:44,1693630800,20230902050000,13.9,89.6
08:44,1693634400,20230902060000,16.6,86.5
08:44,1693638000,20230902070000,19.1,76.6
08:44,1693641600,20230902080000,20.4,74.3
08:44,1693645200,20230902090000,21.7,69.5
08:44,1693648800,20230902100000,23.3,64.9
08:44,1693652400,20230902110000,24.8,54.0
08:44,1693656000,20230902120000,25.8,49.1
08:44,1693659600,20230902130000,26.5,45.7
08:44,1693663200,20230902140000,26.9,40.7
08:44,1693666800,20230902150000,27.1,38.0
08:44,1693670400,20230902160000,26.3,44.6
08:44,1693674000,20230902170000,24.8,52.4
08:44,1693677600,20230902180000,22.4,65.8
08:44,1693681200,20230902190000,20.3,71.4
08:44,1693684800,20230902200000,18.8,77.1
08:44,1693688400,20230902210000,17.9,81.3
08:44,1693692000,20230902220000,17.0,83.9
08:44,1693695600,20230902230000,16.6,84.7
08:44,1693699200,20230903000000,16.0,86.0
08:44,1693702800,20230903010000,15.4,86.4
08:44,1693706400,20230903020000,15.0,87.2
08:44,1693710000,20230903030000,14.7,87.9
08:44,1693713600,20230903040000,14.4,88.1
08:44,1693717200,20230903050000,14.3,88.6
08:44,1693720800,20230903060000,15.6,86.3
08:44,1693724400,20230903070000,18.1,79.4
08:44,1693728000,20230903080000,20.3,72.8
08:44,1693731600,20230903090000,22.0,69.4
08:44,1693735200,20230903100000,23.6,64.9
08:44,1693738800,20230903110000,24.5,62.2
08:44,1693742400,20230903120000,25.8,56.0
08:44,1693746000,20230903130000,26.3,52.5
08:44,1693749600,20230903140000,26.5,47.9
08:44,1693753200,20230903150000,26.2,47.6
08:44,1693756800,20230903160000,25.6,51.4
08:44,1693760400,20230903170000,24.4,61.4
08:44,1693764000,20230903180000,22.7,70.6
08:44,1693767600,20230903190000,21.2,76.2
08:44,1693771200,20230903200000,20.8,76.6
08:44,1693774800,20230903210000,20.2,77.5
08:44,1693778400,20230903220000,19.4,79.9
08:44,1693782000,20230903230000,19.1,80.1
08:44,1693785600,20230904000000,18.5,81.7
08:44,1693789200,20230904010000,18.1,82.2
08:44,1693792800,20230904020000,17.1,84.0
08:44,1693796400,20230904030000,17.1,83.5
08:44,1693800000,20230904040000,16.6,84.6
08:44,1693803600,20230904050000,16.5,84.9
08:44,1693807200,20230904060000,17.4,82.9
08:44,1693810800,20230904070000,19.0,77.0
08:44,1693814400,20230904080000,20.3,73.6
08:44,1693818000,20230904090000,22.1,68.1
08:44,1693821600,20230904100000,23.4,62.9
08:44,1693825200,20230904110000,25.0,56.2
08:44,1693828800,20230904120000,26.4,49.5
08:44,1693832400,20230904130000,27.1,45.9
08:44,1693836000,20230904140000,27.7,43.6
08:44,1693839600,20230904150000,27.8,42.2
08:44,1693843200,20230904160000,27.0,43.3
08:44,1693846800,20230904170000,25.8,47.1
08:44,1693850400,20230904180000,24.3,54.1
08:44,1693854000,20230904190000,21.9,65.7
08:44,1693857600,20230904200000,20.4,71.5
08:44,1693861200,20230904210000,19.7,73.4
08:44,1693864800,20230904220000,19.3,74.6
08:44,1693868400,20230904230000,19.0,73.3
08:44,1693872000,20230905000000,17.8,76.3
08:44,1693875600,20230905010000,16.8,79.4
08:44,1693879200,20230905020000,16.2,80.6
08:44,1693882800,20230905030000,16.2,79.8
08:44,1693886400,20230905040000,14.8,83.8
08:44,1693890000,20230905050000,15.0,83.0
08:44,1693893600,20230905060000,16.9,76.9
08:44,1693897200,20230905070000,18.5,69.6
08:44,1693900800,20230905080000,19.6,64.6
08:44,1693904400,20230905090000,21.2,61.4
08:44,1693908000,20230905100000,22.3,59.4
08:44,1693911600,20230905110000,23.4,57.9
08:44,1693915200,20230905120000,24.2,56.0
08:44,1693918800,20230905130000,25.4,52.7
08:44,1693922400,20230905140000,26.3,49.1
08:44,1693926000,20230905150000,26.3,49.6
08:44,1693929600,20230905160000,26.0,52.7
08:44,1693933200,20230905170000,25.1,58.9
08:44,1693936800,20230905180000,23.2,67.9
08:44,1693940400,20230905190000,21.4,73.7
08:44,1693944000,20230905200000,20.6,72.7
08:44,1693947600,20230905210000,19.8,74.4
08:44,1693951200,20230905220000,18.5,78.2
08:44,1693954800,20230905230000,17.6,79.8
08:44,1693958400,20230906000000,16.8,80.7
08:44,1693962000,20230906010000,16.6,79.7
08:44,1693965600,20230906020000,15.4,82.9
08:44,1693969200,20230906030000,15.2,83.0
08:44,1693972800,20230906040000,14.6,84.9
08:44,1693976400,20230906050000,14.7,84.0
08:44,1693980000,20230906060000,16.6,79.8
08:44,1693983600,20230906070000,18.9,72.3
08:44,1693987200,20230906080000,19.5,72.5
08:44,1693990800,20230906090000,21.3,69.2
08:44,1693994400,20230906100000,22.6,65.2
